#license: Apache-2.0
#mapping_set_id: https://w3id.org/lmodel/fix-protocol
#mapping_tool: https://w3id.org/linkml/
#creator_id: linkml_user
#mapping_date: 2026-05-27
#curie_map: 
# fix_protocol: https://w3id.org/lmodel/fix-protocol/
# linkml: https://w3id.org/linkml/
# biolink: https://w3id.org/biolink/vocab/
# schema: http://schema.org/
# PATO: http://purl.obolibrary.org/obo/PATO_
# example: http://www.example.org/rdf#
# dcterms: http://purl.org/dc/terms/
# skos: http://www.w3.org/2004/02/skos/core#
# xsd: http://www.w3.org/2001/XMLSchema#
# iso11404: https://www.iso.org/standard/39479.html#
# iso3166: https://www.iso.org/iso-3166-country-codes.html#
# iso4217: https://www.iso.org/iso-4217-currency-codes.html#
# iso10383: https://www.iso.org/standard/61067.html#
# iso639: https://www.iso.org/iso-639-language-codes.html#
# iso17442: https://www.iso.org/standard/78829.html#
subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	comment
fix_post_trade:AllocationStatusEnum#ACCEPTED	ACCEPTED	skos:exactMatch		fix_post_trade:AllocStatus_0		skos:exactMatch	https://w3id.org/lmodel/fix-protocol/fix-post-trade						AllocationStatusEnum			
fix_post_trade:AllocationStatusEnum#BLOCK_LEVEL_REJECT	BLOCK_LEVEL_REJECT	skos:exactMatch		fix_post_trade:AllocStatus_1		skos:exactMatch	https://w3id.org/lmodel/fix-protocol/fix-post-trade						AllocationStatusEnum			
fix_post_trade:AllocationStatusEnum#ACCOUNT_LEVEL_REJECT	ACCOUNT_LEVEL_REJECT	skos:exactMatch		fix_post_trade:AllocStatus_2		skos:exactMatch	https://w3id.org/lmodel/fix-protocol/fix-post-trade						AllocationStatusEnum			
fix_post_trade:AllocationStatusEnum#RECEIVED_NOT_YET_PROCESSED	RECEIVED_NOT_YET_PROCESSED	skos:exactMatch		fix_post_trade:AllocStatus_3		skos:exactMatch	https://w3id.org/lmodel/fix-protocol/fix-post-trade						AllocationStatusEnum			
fix_post_trade:AllocationTransactionTypeEnum#NEW	NEW	skos:exactMatch		fix_post_trade:AllocTransType_0		skos:exactMatch	https://w3id.org/lmodel/fix-protocol/fix-post-trade						AllocationTransactionTypeEnum			
fix_post_trade:AllocationTransactionTypeEnum#REPLACE	REPLACE	skos:exactMatch		fix_post_trade:AllocTransType_1		skos:exactMatch	https://w3id.org/lmodel/fix-protocol/fix-post-trade						AllocationTransactionTypeEnum			
fix_post_trade:AllocationTransactionTypeEnum#CANCEL	CANCEL	skos:exactMatch		fix_post_trade:AllocTransType_2		skos:exactMatch	https://w3id.org/lmodel/fix-protocol/fix-post-trade						AllocationTransactionTypeEnum			
fix_infrastructure:ApplicationMessageReportTypeEnum#RESET	RESET	skos:exactMatch		fix_infrastructure:ApplReportType_0		skos:exactMatch	https://w3id.org/lmodel/fix-protocol/fix-infrastructure						ApplicationMessageReportTypeEnum			
fix_infrastructure:ApplicationMessageReportTypeEnum#LAST_MESSAGE	LAST_MESSAGE	skos:exactMatch		fix_infrastructure:ApplReportType_1		skos:exactMatch	https://w3id.org/lmodel/fix-protocol/fix-infrastructure						ApplicationMessageReportTypeEnum			
fix_infrastructure:ApplicationMessageReportTypeEnum#RESEND_COMPLETED	RESEND_COMPLETED	skos:exactMatch		fix_infrastructure:ApplReportType_3		skos:exactMatch	https://w3id.org/lmodel/fix-protocol/fix-infrastructure						ApplicationMessageReportTypeEnum			
